Age,Sex,Education,Marital_Status,Job_Position,Shifts,Working_days/week,Working_hours/week_excbreak,Break_timeHrs,Job_Experience,Travelling_Time,SalaryPer Annum,Family_Type,Family_Members,Dependent_Members,Earning_Members,Felt_stress,Stress_past,S1,S2,S3,S4,S5,S6,S7,S8,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,How stress shows its ill effect in job performance?,Health_Problems,Physical_mental_problems,Coping_Stress,CopingMethods_beneficial,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,Organisation_Stress,Beneficial_Org,Company_Programs,Members
35,Male,Post Graduate,Married,Manager,Day or Night,6,8,1,3,5,4,1,4,3,1,1,,3,3,3,3,3,3,2,3,5,5,5,5,5,5,5,4,4,4,5,5,3,3,3,Losing patience while dealing with customers or clients,Headache;Tension,Frequent hospitalization,0,,,,,,,,,,,,,,1,1,Employee counselling;Effective training and development program;Motivational lectures,Sheetal Gorde
41,Male,Graduate,Married,Manager,Day only,5,10,1,4,1,4,1,3,2,1,1,,3,3,3,2,3,3,3,3,3,4,4,4,4,3,5,3,3,4,4,4,3,4,4,Low morale,Tension;Anxiety;Insecurity;Insomnia;Restlessness,None,0,,,,,,,,,,,,,,0,,Motivational lectures,Sheetal Gorde
37,Male,Graduate,Married,Manager,Day only,6.5,10,1,3,2,3,1,4,2,2,1,,2,3,2,2,3,3,2,2,1,2,2,1,2,2,2,2,1,2,1,1,1,2,2,Can't complete your work within specific time,Headache;Chest pain;Tension;Depression;Insecurity;High/Low Blood Pressure,Frequent hospitalization;Poor performance in job;Withdrawal from relationship,0,,,,,,,,,,,,,,0,,Effective training and development program;Motivational lectures;Health club,Sheetal Gorde
22,Female,Graduate,Single,Associate,Day only,5,8,1,1,3,1,1,4,1,3,1,,1,3,3,3,4,4,3,3,3,3,4,4,5,5,4,5,4,4,3,5,5,5,5,Lack of concentration,Headache;Restlessness,Under/Over Eating,0,,,,,,,,,,,,,,1,1,Employee counselling;Effective training and development program;Motivational lectures;Health club,Sheetal Gorde
22,Female,Graduate,Single,Associate,Day only,5,8,1,1,3,1,1,4,1,3,1,,1,3,3,3,4,4,3,3,3,3,4,4,5,5,4,5,4,4,3,5,5,5,5,Lack of concentration,Headache;Restlessness,Under/Over Eating,0,,,,,,,,,,,,,,1,1,Employee counselling;Effective training and development program;Motivational lectures;Health club,Sheetal Gorde
25,Female,Graduate,Single,Associate,Day only,5,8,1,1,3,3,1,2,0,2,1,,1,3,3,3,3,3,3,3,2,3,3,3,2,2,4,3,2,2,2,4,3,3,3,Low morale,Headache;Chest pain;Tension;Anxiety;Insomnia;Restlessness;Back pain,Frequent hospitalization;Under/Over Eating,0,,,,,,,,,,,,,,0,,Effective training and development program;Health club,Sheetal Gorde
30,Male,Graduate,Single,Team Leader,Day or Night,5,8,1,2,2,3,2,8,4,4,1,,1,3,3,4,3,4,3,3,4,3,3,4,4,2,2,2,2,1,1,1,2,1,1,Lack of concentration,Stomach disorder;Depression;Restlessness;Back pain,Under/Over Eating,1,1,3,5,3,4,4,5,3,4,5,4,5,1,1,1,Employee counselling;Effective training and development program;Motivational lectures,Sheetal Gorde
23,Female,Post Graduate,Single,Trainee,Day only,7,9,1,1,3,1,1,4,2,2,1,,2,3,5,3,5,2,3,3,4,4,4,5,5,5,5,3,1,4,2,3,3,3,3,Low morale,Headache,Under/Over Eating;Frequent crying,0,,,,,,,,,,,,,,0,,Effective training and development program;Motivational lectures;Health club,Sheetal Gorde
22,Female,Post Graduate,Single,Trainee,Day only,5,8,1,1,4,2,1,5,2,3,0,1,1,1,2,1,2,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,Can't complete your work within specific time,Back pain,None,0,,,,,,,,,,,,,,1,1,Effective training and development program;Motivational lectures,Sheetal Gorde
33,Male,Graduate,Married,Manager,Day only,5,8,1,3,2,4,1,3,1,2,0,1,1,1,1,1,1,5,5,3,1,1,1,4,3,3,5,5,3,3,3,3,4,3,3,Lack of concentration,Tension;Back pain,Increased Smoking,0,,,,,,,,,,,,,,0,,Employee counselling,Sheetal Gorde
31,Male,Post Graduate,Married,Senior Associate,Day only,5,8,1,2,5,4,1,3,2,1,1,,1,2,1,1,3,3,4,3,1,1,3,4,2,2,3,4,3,2,2,3,1,2,5,Lack of concentration,None,Under/Over Eating;Poor performance in job,1,1,5,4,3,3,3,3,3,4,4,4,4,3,0,,Employee counselling;Effective training and development program;Motivational lectures;Health club,Sheetal Gorde
51,Male,Graduate,Married,Manager,Day only,6,10,1,5,2,3,1,3,2,1,1,,1,1,2,2,2,4,4,5,4,2,2,3,2,2,3,3,2,3,2,4,2,2,4,Can't complete your work within specific time,High/Low Blood Pressure,None,1,1,5,4,4,4,4,3,1,4,5,4,4,1,1,1,Motivational lectures,Sheetal Gorde
22,Female,Graduate,Single,Associate,Day only,6,7,1,1,3,1,1,5,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Employee counselling;Effective training and development program;Health club,Sheetal Gorde
25,Male,Post Graduate,Single,Associate,Day or Night,6,8,1,1,2,1,1,4,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Effective training and development program;Motivational lectures,Sheetal Gorde
29,Male,Post Graduate,Married,Associate,Day or Night,6,7,1,1,2,2,2,6,3,3,1,,2,1,1,2,1,2,4,4,4,3,3,2,4,3,3,3,3,2,2,2,2,3,3,Losing patience while dealing with customers or clients,Headache,None,0,,,,,,,,,,,,,,0,,Employee counselling;Motivational lectures,Sheetal Gorde
26,Female,Post Graduate,Single,Associate,Day only,6,7,1,1,2,1,1,5,1,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Employee counselling;Effective training and development program;Motivational lectures;Health club,Sheetal Gorde
28,Female,Post Graduate,Married,Associate,Day only,6,7,1,1,1,2,1,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Employee counselling;Effective training and development program,Sheetal Gorde
29,Female,Graduate,Married,Associate,Day only,6,7,1,2,1,2,1,3,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Motivational lectures;Health club,Sheetal Gorde
32,Female,Post Graduate,Married,Senior Associate,Day only,6,7,1,2,1,2,1,3,1,2,1,,1,1,3,1,2,3,4,4,3,4,3,4,4,3,3,3,2,2,2,2,3,2,3,Lack of concentration,High/Low Blood Pressure,None,1,1,5,4,3,4,3,3,3,5,3,4,4,3,1,1,Employee counselling;Motivational lectures,Sheetal Gorde
35,Male,Post Graduate,Married,Senior Associate,Day or Night,6,7,1,2,2,3,1,3,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Employee counselling;Effective training and development program;Motivational lectures,Sheetal Gorde
33,Male,Post Graduate,Married,Senior Associate,Day only,6,8,1,2,1,2,2,7,5,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Effective training and development program;Motivational lectures;Health club,Sheetal Gorde
35,Male,Graduate,Married,Senior Associate,Day only,6,7,1,2,1,2,1,4,3,1,0,1,1,2,3,1,1,2,3,4,2,4,3,4,4,3,4,3,2,2,2,2,3,3,3,Lack of concentration,Headache,None,0,,,,,,,,,,,,,,0,,Health club,Sheetal Gorde
38,Male,Graduate,Married,Manager,Day or Night,5,10,1,3,2,4,2,8,5,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Effective training and development program,Sheetal Gorde
44,Male,Post Graduate,Married,Manager,Day only,6,9,1,4,3,4,1,3,2,1,1,,1,2,3,2,2,2,3,3,3,2,4,4,1,1,3,3,1,2,1,4,1,3,2,Losing patience while dealing with customers or clients,Headache;Restlessness,Under/Over Eating;Violence,0,,,,,,,,,,,,,,1,1,Effective training and development program,Sheetal Gorde
27,Male,Graduate,Single,Senior Associate,Day or Night,5,8.5,1,1,4,1,1,5,2,3,1,,1,5,4,4,4,3,3,4,5,5,4,5,5,4,5,3,4,5,5,5,5,5,5,Can't complete your work within specific time,Headache;Stomach disorder;Tension;Anxiety;Depression;Insecurity;Restlessness;Back pain,Under/Over Eating;Poor performance in job;Withdrawal from relationship;Suicidal Thoughts;Violence,1,1,5,4,4,5,5,4,5,4,5,5,5,5,0,,Employee counselling;Effective training and development program;Motivational lectures;Health club,Sheetal Gorde
35,Male,Graduate,Married,Team Leader,Day only,5,8,1,3,2,4,1,3,2,1,1,,1,4,2,3,3,3,2,1,3,3,5,4,3,3,3,3,5,3,3,3,3,3,3,Low morale,Back pain,Increased Smoking,0,,,,,,,,,,,,,,0,,Employee counselling,Sheetal Gorde
32,Male,Graduate,Married,Team Leader,Day only,5,8.5,1,3,1,2,2,7,5,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Effective training and development program,Akash Kadge
29,Male,Graduate,Married,Manager,Day only,5,9,1,2,1,3,1,2,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Effective training and development program,Sheetal Gorde
32,Male,Graduate,Married,Team Leader,Day only,5,8.5,1,3,1,2,2,7,5,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Effective training and development program,Sheetal Gorde
22,Female,Graduate,Single,Associate,Day only,6,9,1,1,3,1,2,5,2,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Health club,Sheetal Gorde
41,Male,Post Graduate,Married,Manager,Day only,6,8,1,4,2,4,1,3,2,1,1,,4,4,5,3,3,3,1,1,3,4,5,3,3,3,3,4,4,5,4,5,3,4,3,Low morale,High/Low Blood Pressure,Withdrawal from relationship,0,,,,,,,,,,,,,,0,,Employee counselling;Effective training and development program;Motivational lectures,Sheetal Gorde
21,Female,Graduate,Single,Associate,Day only,6,9,1,1,2,1,2,4,2,2,0,1,1,1,2,1,1,1,3,3,2,2,2,2,4,2,2,2,1,1,1,1,1,1,1,Losing patience while dealing with customers or clients,Headache;Tension;Back pain,None,1,1,2,2,4,4,4,2,2,4,4,2,4,4,0,,Employee counselling;Effective training and development program,Sheetal Gorde
32,Male,Graduate,Married,Team Leader,Day only,5,8.5,1,3,1,2,2,7,5,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Effective training and development program,Sheetal Gorde
21,Female,Post Graduate,Single,Trainee,Day only,6,9,1,1,4,1,1,5,3,2,1,,2,3,5,4,4,3,4,4,3,3,2,4,5,4,3,5,3,2,3,2,2,4,5,Lack of concentration,Tension;Anxiety;Restlessness;Back pain,Under/Over Eating;Frequent crying;Withdrawal from relationship,1,0,3,4,5,4,4,4,3,5,5,5,4,3,0,,Employee counselling;Effective training and development program;Health club,Sheetal Gorde
23,Female,Graduate,Single,Associate,Day only,6,7,1,1,3,1,1,5,2,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Effective training and development program,Sheetal Gorde
22,Male,Graduate,Single,Associate,Day only,6,9,1,1,2,2,1,4,3,1,1,,4,4,4,5,2,2,1,2,3,4,4,5,5,3,5,1,4,5,3,1,1,1,3,Lack of concentration,Depression;Insecurity,Others,0,,,,,,,,,,,,,,0,,Effective training and development program;Health club,Aishwarya Ashokan
25,Male,Graduate,Single,Senior Associate,Day only,5,7,1,1,3,3,1,4,1,3,1,,3,3,3,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,3,Can't complete your work within specific time,None,None,0,,,,,,,,,,,,,,0,,Health club,Aishwarya Ashokan
27,Male,Graduate,Married,Senior Associate,Day only,6,8,1,2,2,1,2,6,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Employee counselling;Effective training and development program;Motivational lectures;Health club,Suresh Konar
25,Male,Graduate,Single,Associate,Day only,6,9,1,1,1,1,1,4,0,4,1,,1,2,2,2,3,2,1,2,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,Committing more errors,Tension,Excessive alcohol,0,,,,,,,,,,,,,,1,1,Effective training and development program;Motivational lectures,Suresh Konar
26,Male,Post Graduate,Single,Manager,Day only,5,8,1,1,1,2,1,4,2,2,1,,2,2,2,2,4,3,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Can't complete your work within specific time,Headache;Stomach disorder;Chest pain;Tension;Anxiety;Depression;Insecurity;Insomnia;High/Low Blood Pressure;Restlessness;Back pain,Frequent hospitalization;Increased Smoking;Excessive alcohol;Under/Over Eating;Frequent crying;Poor performance in job;Withdrawal from relationship;Gambling;Suicidal Thoughts;Violence,0,,,,,,,,,,,,,,0,,Employee counselling;Effective training and development program;Motivational lectures;Health club,Aishwarya Ashokan
21,Female,Graduate,Single,Associate,Day only,5,7,1,3,2,1,1,3,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Employee counselling;Effective training and development program,Suresh Konar
22,Female,Graduate,Single,Trainee,Day only,5,7,1,1,2,4,1,5,4,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Effective training and development program;Health club,Suresh Konar
23,Female,Post Graduate,Single,Trainee,Day only,6,8,1,1,3,1,2,8,5,3,1,,3,3,2,1,4,4,4,4,4,4,4,5,5,4,5,3,5,1,1,4,2,4,5,Losing patience while dealing with customers or clients,Headache;Stomach disorder;Tension;Anxiety;Depression;Insecurity;Back pain,Frequent crying;Violence,0,,,,,,,,,,,,,,0,,Employee counselling;Effective training and development program;Motivational lectures;Health club,Suresh Konar
23,Male,Graduate,Single,Associate,Day only,5,8,1,1,1,2,1,4,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Employee counselling;Motivational lectures,Suresh Konar
24,Male,Graduate,Single,Senior Associate,Day only,5,8,1,1,3,3,1,3,1,2,1,,2,3,5,4,3,3,2,2,4,4,4,4,5,3,3,5,3,4,2,5,4,5,5,Lack of concentration,Anxiety;Insecurity,None,0,,,,,,,,,,,,,,0,,Employee counselling;Effective training and development program;Motivational lectures,Akash Kadge
23,Male,HSC,Single,Trainee,Day only,5,9,1,3,2,2,1,4,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Effective training and development program;Health club,Aishwarya Ashokan
23,Female,Post Graduate,Single,Manager,Day only,5,9,1,1,5,2,1,3,1,2,1,,2,3,3,3,2,5,2,4,4,4,5,3,5,4,5,5,5,5,5,5,3,3,5,Lack of concentration,Tension;Anxiety;Insecurity;Restlessness,Under/Over Eating;Withdrawal from relationship,1,1,4,4,5,5,5,5,5,5,5,5,5,5,0,,Employee counselling;Health club,Aishwarya Ashokan
23,Male,Graduate,Single,Manager,Day only,5,8,1,1,3,4,1,4,2,2,1,,1,2,3,2,3,3,1,3,5,5,5,4,5,4,4,4,4,4,1,1,5,5,5,Lack of concentration,Headache;Tension;Anxiety;Depression;Insomnia;Restlessness;Others,Under/Over Eating;Others,0,,,,,,,,,,,,,,0,,Health club,Aishwarya Ashokan
22,Male,Graduate,Single,Trainee,Day only,5,7.5,1,1,4,2,1,4,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Employee counselling;Motivational lectures;Health club,Aishwarya Ashokan
29,Male,Graduate,Single,Manager,Day or Night,7,8,1,3,2,1,1,3,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Employee counselling;Effective training and development program;Motivational lectures;Health club,Aishwarya Ashokan
24,Female,Graduate,Married,Manager,Day only,5,8,1,2,2,2,2,5,4,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Effective training and development program,Aishwarya Ashokan
22,Male,Graduate,Single,Trainee,Day only,6,9,1,1,4,1,1,4,1,3,1,,2,3,3,2,3,3,3,3,3,3,3,3,3,3,1,3,1,3,3,3,3,3,3,Low morale,Headache;Tension;Depression;Insomnia;Restlessness;Back pain,Under/Over Eating,0,,,,,,,,,,,,,,0,,Effective training and development program,Aishwarya Ashokan
23,Male,Graduate,Single,Associate,Day only,5,9,1,1,2,1,1,4,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Effective training and development program;Motivational lectures;Health club,Suresh Konar
22,Male,Graduate,Single,Trainee,Day or Night,6,8,1,1,4,1,1,5,3,2,1,,1,1,3,2,2,3,3,3,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,Losing patience while dealing with customers or clients,None,Under/Over Eating,1,1,3,3,1,2,2,3,1,2,3,3,3,2,1,1,Employee counselling,Suresh Konar
31,Male,Post Graduate,Married,Manager,Day or Night,5,10,1,2,1,3,1,3,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Effective training and development program;Motivational lectures,Sheetal Gorde
31,Male,Graduate,Married,Senior Associate,Day only,5,8,1,2,2,3,2,8,5,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Motivational lectures,Aishwarya Ashokan
26,Male,Post Graduate,Single,Manager,Day only,6,8,1,1,1,2,1,4,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Health club,Suresh Konar
29,Male,Graduate,Married,Manager,Day only,6,8,1,2,4,3,1,4,1,3,1,,1,2,3,2,2,2,3,5,5,5,2,2,5,2,4,4,4,4,3,4,5,5,5,Can't complete your work within specific time,Stomach disorder,Under/Over Eating,0,,,,,,,,,,,,,,1,1,Employee counselling,Sheetal Gorde
24,Female,Post Graduate,Single,Team Leader,Day only,5,7,1,1,4,2,1,4,2,2,1,,1,2,3,3,3,3,2,3,1,1,1,1,1,2,3,3,3,3,1,4,4,4,4,Committing more errors,Headache;Chest pain;Tension;High/Low Blood Pressure,Frequent crying,1,1,4,4,5,5,4,5,4,5,5,5,5,5,0,,Employee counselling,Aishwarya Ashokan
31,Male,Graduate,Married,Team Leader,Day or Night,5,9,1,2,3,2,2,6,4,2,1,,3,3,2,3,3,3,3,4,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,Losing patience while dealing with customers or clients,Headache;Stomach disorder;Insomnia;Restlessness,None,0,,,,,,,,,,,,,,0,,Employee counselling;Effective training and development program;Motivational lectures;Health club,Aishwarya Ashokan
22,Female,Graduate,Single,Trainee,Day only,5,9,1,1,4,1,1,4,0,4,1,,1,2,4,5,4,2,2,2,3,4,4,5,5,5,4,5,5,5,3,4,3,1,5,Lack of concentration,Chest pain;Tension;Anxiety;Back pain,Withdrawal from relationship;Others,0,,,,,,,,,,,,,,0,,Employee counselling;Effective training and development program;Motivational lectures;Health club,Suresh Konar
31,Male,Graduate,Married,Senior Associate,Day or Night,5,7,1,2,2,2,1,2,1,1,1,,2,5,4,5,2,5,1,1,3,5,5,5,3,2,5,5,2,5,4,3,3,3,2,Low morale,None,None,0,,,,,,,,,,,,,,0,,Effective training and development program,Aishwarya Ashokan
22,Male,Graduate,Single,Associate,Night only,5,8,1,1,3,2,1,4,1,3,1,,1,1,2,1,3,4,5,4,3,4,3,3,4,3,3,4,5,5,3,3,5,5,4,Lack of concentration,None,Under/Over Eating,0,,,,,,,,,,,,,,1,1,Employee counselling;Effective training and development program;Health club,Aishwarya Ashokan
24,Female,Post Graduate,Single,Associate,Day only,6,8,1,1,1,1,1,3,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Effective training and development program,Suresh Konar
24,Male,Graduate,Single,Associate,Day only,6,8,1,1,2,1,1,3,1,2,1,,2,3,2,3,2,2,2,3,2,2,4,2,3,3,3,4,4,4,2,3,4,3,3,Lack of concentration,None,None,0,,,,,,,,,,,,,,0,,Employee counselling;Motivational lectures,Aishwarya Ashokan
28,Male,Graduate,Single,Senior Associate,Day or Night,6,10,1,2,2,4,1,4,2,2,1,,4,3,3,2,4,4,3,4,3,4,3,5,3,3,3,4,1,3,4,4,4,4,3,Lack of concentration,Depression;Back pain,Increased Smoking;Under/Over Eating;Withdrawal from relationship,1,1,1,4,4,4,4,5,1,4,4,5,3,4,0,,Effective training and development program;Health club,Aishwarya Ashokan
22,Female,Post Graduate,Single,Trainee,Day only,5,8,1,1,4,2,1,5,4,1,0,1,2,4,5,3,4,3,3,3,5,4,4,5,5,5,5,5,5,5,2,5,4,5,5,Can't complete your work within specific time,Headache;Stomach disorder;Tension;Insecurity,Others,0,,,,,,,,,,,,,,1,1,Employee counselling;Effective training and development program;Motivational lectures;Health club,Suresh Konar
23,Female,Graduate,Single,Associate,Day only,5,8,1,1,4,2,1,5,2,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Effective training and development program,Aishwarya Ashokan
24,Female,Graduate,Single,Trainee,Day only,6,8,1,1,2,1,1,3,2,1,1,,2,1,1,2,2,4,4,4,3,4,4,4,4,4,3,3,2,3,1,1,1,1,1,Can't complete your work within specific time,Headache,None,0,,,,,,,,,,,,,,0,,Motivational lectures;Health club,Aishwarya Ashokan
21,Female,Graduate,Single,Associate,Day only,5,8,1,1,2,1,1,4,1,3,1,,1,3,2,2,2,1,4,5,2,2,2,2,2,2,3,2,2,2,2,2,3,3,3,Can't complete your work within specific time,Restlessness;Back pain,Frequent crying,0,,,,,,,,,,,,,,0,,Employee counselling;Effective training and development program;Health club,Suresh Konar
25,Female,Graduate,Single,Trainee,Day only,6,8,1,1,2,2,1,5,3,2,1,,2,3,5,5,3,2,2,4,2,3,4,4,5,3,5,4,4,4,3,3,3,4,3,Losing patience while dealing with customers or clients,Headache;Stomach disorder;Tension,Poor performance in job,0,,,,,,,,,,,,,,0,,Employee counselling;Effective training and development program;Motivational lectures,Suresh Konar
25,Female,Graduate,Married,Senior Associate,Day only,5,8,1,2,1,2,1,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Effective training and development program;Health club,Suresh Konar
23,Female,Graduate,Single,Associate,Day only,5,7,1,1,4,2,2,5,3,2,1,,2,3,2,3,3,4,4,3,3,4,4,4,3,3,4,4,3,3,3,4,4,3,5,Lack of concentration,Tension;Anxiety;Insecurity,Under/Over Eating;Frequent crying;Withdrawal from relationship,1,1,4,5,4,5,3,5,3,5,5,4,5,5,1,1,Employee counselling;Motivational lectures,Aishwarya Ashokan
24,Female,Post Graduate,Single,Associate,Day only,6,8,1,1,2,1,2,8,4,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Employee counselling;Health club,Suresh Konar
